cap1,cap2,ev,gt,video_id
"First, In the desert, suit guy hurriedly picks up a gun from the ground. Then, The dead guy is lying in the desert.","First, The dead guy is lying in the desert. Then, In the desert, suit guy hurriedly picks up a gun from the ground.","[""Ev1"",""Ev5""]",cap1,v_7lKWPxDej7s_seg_55_65
"First, In a bar, the woman leans aside to get closer to the old man. Then, In a bar, the old man is staring happily ahead at the younger man standing in front of him.","First, In a bar, the old man is staring happily ahead at the younger man standing in front of him. Then, In a bar, the woman leans aside to get closer to the old man.","[""Ev3"",""Ev5""]",cap1,v_rsHK7n7hVBQ_seg_15_25
"First, On the street, a woman with long hair is carefully opening the red car. Then, A woman in a striped shirt hits a man in a black jacket in the back of the head with a quick swing of her gun butt.","First, A woman in a striped shirt hits a man in a black jacket in the back of the head with a quick swing of her gun butt. Then, On the street, a woman with long hair is carefully opening the red car.","[""Ev1"",""Ev3""]",cap2,v_b2IWTMJV2cE_seg_5_15
"First, Inside a building, people are moving themselves backwards. Then, On the side of a building, spiderman jumps up.","First, On the side of a building, spiderman jumps up. Then, Inside a building, people are moving themselves backwards.","[""Ev2"",""Ev5""]",cap1,v_ORrQKFliVLM_seg_180_190
"First, In the back, the man in a tan apron kicks the boy in a striped shirt quickly, sending him ahead of him. Then, In a store, a man in a blue vest taps the buttons on the cash register with his hand.","First, In a store, a man in a blue vest taps the buttons on the cash register with his hand. Then, In the back, the man in a tan apron kicks the boy in a striped shirt quickly, sending him ahead of him.","[""Ev2"",""Ev5""]",cap1,v_cnM9pdjp5o4_seg_55_65
"First, In a foryer, the man in a black jacket is jogging forwards. Then, In a studio, the man in a brown jacket is listening carefully to his earpiece.","First, In a studio, the man in a brown jacket is listening carefully to his earpiece. Then, In a foryer, the man in a black jacket is jogging forwards.","[""Ev1"",""Ev4""]",cap2,v_RehVwEopIQ4_seg_55_65
"First, On the rooftop of a building, the man in uniform hops down from the steps. Then, In an emergency area, a man in a white uniform is racing up the stairs.","First, In an emergency area, a man in a white uniform is racing up the stairs. Then, On the rooftop of a building, the man in uniform hops down from the steps.","[""Ev2"",""Ev4""]",cap2,v_qqX1d64OcvI_seg_35_45
"First, In a room, the man in blue is entering the doorway curiously. Then, The girl in white is sleeping soundly in the bed.","First, The girl in white is sleeping soundly in the bed. Then, In a room, the man in blue is entering the doorway curiously.","[""Ev1"",""Ev4""]",cap2,v_WsgkiKu7AO8_seg_15_25
"First, In a room, a girl in a bikini is exiting towards the door. Then, In a room, the man in green is slowly dressing himself in pants.","First, In a room, the man in green is slowly dressing himself in pants. Then, In a room, a girl in a bikini is exiting towards the door.","[""Ev2"",""Ev4""]",cap1,v_N7W2F1GcD-A_seg_120_130
"First, In a room, a man in a grey shirt claps his hands. Then, In a room, a man in a white shirt jumps off the wall.","First, In a room, a man in a white shirt jumps off the wall. Then, In a room, a man in a grey shirt claps his hands.","[""Ev2"",""Ev4""]",cap1,v_iYf3nqYQXDI_seg_120_130
