cap1,cap2,ev,gt,video_id
The person who is climbing across the cliff is also the one who is grabbing the gun to aim it at him.,The person who is climbing across the cliff is also the one who stumbles down.,"[""Ev1"",""Ev2"",""Ev2""]",cap2,v_IFc2QKCnGEg_seg_10_20
The person who walks forward with an attitude is also the one who is stabbing the tire.,The person who walks forward with an attitude is also the one who is removing her sunglasses from her eyes.,"[""Ev2"",""Ev3"",""Ev3""]",cap2,v_1shru4620TE_seg_130_140
The person who is choking an older man is also the one who is breathing deeply.,The person who is choking an older man is also the one who releases his grip on the older man's throat.,"[""Ev1"",""Ev2"",""Ev2""]",cap2,v_pvni4Q-Xh7k_seg_40_50
"The person who is yelling to a man wearing a black hat is also the one who looks around the room, bending near another man and scanning left and right.","The person who is yelling to a man wearing a black hat is also the one who is staring ahead at something in front of him, while in a daze.","[""Ev2"",""Ev4"",""Ev4""]",cap1,v_a6DTqXLuu_c_seg_120_130
"The person who opens the door with a big smile is also the one who is speaking to an old man, greeting him.",The person who opens the door with a big smile is also the one who is knocking on the door with his fist.,"[""Ev4"",""Ev5"",""Ev5""]",cap1,v_BFeuE0wAHnI_seg_0_10
The person who is aiming his gun at the home is also the one who flinches.,The person who is aiming his gun at the home is also the one who notices a man in a white t-shirt.,"[""Ev2"",""Ev3"",""Ev3""]",cap2,v_6lRIgVCdLP4_seg_130_140
The person who is greeting a man wearing a black hat is also the one who is spinning around on one leg.,The person who is greeting a man wearing a black hat is also the one who is smiling friendly at a woman in a purple shirt.,"[""Ev1"",""Ev4"",""Ev4""]",cap1,v_bt6-F11LZsQ_seg_25_35
The person who looks observingly at a helicopter behind him is also the one who is jumping backwards.,The person who looks observingly at a helicopter behind him is also the one who quickly takes a trophy from someone.,"[""Ev3"",""Ev4"",""Ev4""]",cap1,v_dR3cjXncoSk_seg_90_100
The person who is walking upstairs is also the one who is pushing the revolving door ahead of him.,"The person who is walking upstairs is also the one who is locking a revolving door in front of him, with a man in a white suit trapped inside.","[""Ev1"",""Ev3"",""Ev3""]",cap2,v_1CDlBLvc3YE_seg_25_35
The person who is screaming in a scared manner is also the one who lets out a startled scream.,The person who is screaming in a scared manner is also the one who is wielding a knife.,"[""Ev1"",""Ev3"",""Ev3""]",cap1,v_A63kIf5CfgE_seg_70_80
The person who is pulling a shirt back around a man's neck is also the one who is looking up at the man standing in front of him with fear.,The person who is pulling a shirt back around a man's neck is also the one who suddenly hits the man with dark hair on the ribs with his fist.,"[""Ev1"",""Ev2"",""Ev2""]",cap2,v_q3Vvto0REuc_seg_30_40
The person who is knocking down on the door with his fist is also the one who is opening the door with a big smile.,"The person who is knocking down on the door with his fist is also the one who is speaking to himself, looking confused.","[""Ev1"",""Ev3"",""Ev3""]",cap2,v_BFeuE0wAHnI_seg_0_10
The person who enters the office room decisively and quickly is also the one who is laughing with happiness.,The person who enters the office room decisively and quickly is also the one who is fighting the man in the black coat/vest.,"[""Ev1"",""Ev4"",""Ev4""]",cap2,v_ByNjiy8-j8g_seg_45_55
