cap1,cap2,ev,gt,video_id
"The man in glasses sits at his desk, looking at his phone.","The man in glasses sits at his desk, typing on his laptop.",Ev2,cap1,v_PLOSA5L0dxE_seg_5_15
"Near a burning building, a firefighter watches with enthusiasm.","Near a burning building, a firefighter looks on with exhaustion.",Ev4,cap2,v_KrwlDh465HQ_seg_115_125
"In the ambulance, the man with a bare chest speaks to the man with a gray and yellow jacket with a smile.","In an ambulance, a man with a bare chest is speaking to a man with a gray and yellow jacket while bleeding.",Ev3,cap2,v_2vV-8TyFBTI_seg_30_40
The woman calmly grabs the wet rag from the sink.,The woman frantically grabs a wet rag from the sink.,Ev2,cap2,v_evzxQrEfIG8_seg_10_20
"In a prison cell, a man wearing a hat roughly throws a man in a black jacket to the floor.","In a prison cell, the man wearing a hat gently throws the man in a black jacket to the floor.",Ev5,cap1,v_riDe28hGBuo_seg_10_20
"In a grand hall, a guy in glasses is watching the man with gray hair nervously.","In a grand hall, the guy in glasses watches the man with gray hair with confidence.",Ev2,cap1,v_u8QMY9JKlDk_seg_45_55
"In a fire-lit area, the man with the knife is slowly lowering the knife to the tongue of the bald man.","In a fire-lit area, the man with the knife hastily lowers the knife to the tongue of the bald man.",Ev3,cap1,v_YL_90r0J120_seg_110_120
"The boy sits down, seemingly intent on ignoring her.",The boy is sitting down to talk to her.,Ev5,cap2,v_THe7-5-D-gM_seg_60_70
"On the balcony, the woman in a black shirt hastens to approach the man in a black shirt to the right.","On the balcony, the woman in a black shirt is approaching the man in a black shirt to the right in a casual manner.",Ev5,cap2,v_Z41Lvaw_W6E_seg_65_75
"In a kitchen, a woman in a green dress quickly throws a small object at a woman in purple.","In the kitchen, the woman in a green dress gently throws a small object at the woman in purple.",Ev1,cap1,v_yg0yDvEqfw4_seg_15_25
People are driving a car fast on the road.,"On the road, people drive a car slowly.",Ev2,cap1,v_AoB_mdZxNlY_seg_100_110
"Outside, the boy in a blue t-shirt is looking slowly down at a vehicle.","Outside, the boy in a blue t-shirt looks down at the vehicle quickly.",Ev4,cap1,v_zz0w0KDwhWg_seg_65_75
"Outside a vehicle, a man in a tank top is talking face to face to a man in a blue shirt.","Outside of the vehicle, the man in a tank top talks to the man in a blue shirt from a distance.",Ev1,cap1,v_D-9zx3m6lLU_seg_25_35
"In a room, a boy talks to a woman while whispering.","In a room, a boy is talking to a woman while smoking.",Ev2,cap2,v_7Zx5tpFmv9M_seg_40_50
"Outside, a man in uniform is speaking carefully to a man in black.","Outside, the man in uniform speaks impulsively to the man in black.",Ev4,cap1,v_6G7J6lZDW3E_seg_80_90
"On horseback, a man without a hat is speaking to a man with a hat, nodding as he talks.","On a horse, the man with no hat talks to the man with a hat with a shout.",Ev4,cap1,v_pwqOYWnLxBo_seg_20_30
"Inside a pyramid, the man in a red hat walks through the corridor, carrying a staff.","Inside a pyramid, a man in a red hat walks through the corridor, dragging a bag of treasure.",Ev5,cap2,v_ARUzoPWS4Uk_seg_40_50
"Inside the truck, the woman in a leather jacket looks behind at the truck following them with a casual glance.","Inside the truck, the woman in a leather jacket quickly looks behind at the truck that's following them.",Ev1,cap2,v_jCSsP6ooQf8_seg_115_125
"In the complex, the man in a yellow shirt watches off scene intently.","In a complex, the man in the yellow shirt is watching off scene with an awkward expression.",Ev2,cap2,v_5otacrrli04_seg_120_130
"Inside a house, a man with short hair sits quietly, looking to his right at a man with a beard.","Inside a house, the man with short hair jumps up while looking to his right at the man with a beard.",Ev4,cap1,v_mCbY7cAv7r8_seg_115_125
