cap1,cap2,ev,gt,video_id
"Leaning out his window with a bewildered look, the shirtless man in white underwear talks to the woman in a red coat and sunglasses from inside his apartment.","Outside an apartment building, the shirtless man in white underwear is hanging his body frantically from a metal pole.",Ev5,cap1,v_fX4XAbCTdYs_seg_55_65
"In an office room, the man in the skull cap is fighting the man in the black coat/vest.","In a recording studio, the man in the skull cap is laughing with happiness.",Ev4,cap1,v_ByNjiy8-j8g_seg_45_55
A woman wearing underwear is fleeing in a living room.,"In a living room, a woman wearing underwear is speaking to the two women while standing still.",Ev3,cap1,v_G3qOB7PGBXE_seg_110_120
"In a field, the man with grey hair walks forward towards the man in blue.","In a house, the man with grey hair is speaking to the man in blue with concern.",Ev2,cap2,v_hw8D5KSx5p4_seg_60_70
"In a kitchen, the man in a t-shirt is throwing a small object quickly at the woman in purple.","In a home, a man in a t-shirt is switching the channel on the television.",Ev5,cap2,v_yg0yDvEqfw4_seg_15_25
"At the canyon walls, a man in a gray shirt looks up with concern at a woman in a pink shirt and a person in a white shirt.","On the face of the rocks, the man in the gray shirt is hanging the woman in the pink shirt precariously from the climbing ropes.",Ev5,cap1,v_Q0gx_D--iDw_seg_95_105
"In a yard, a crying blonde woman is holding her head together to comfort herself.","In a yard, the blonde woman is exiting the man's car.",Ev1,cap1,v_hw8D5KSx5p4_seg_70_80
"In a recording studio, the man in the skull cap is laughing with happiness.","Within the office room, the man in the skull cap is roughly grabbing the man in the black coat.",Ev2,cap2,v_ByNjiy8-j8g_seg_45_55
"In a bedroom, the man in a black coat is looking down at the bed, searching for something.","In a bedroom, the woman with brown hair is startled by the man in a black coat.",Ev4,cap2,v_ea2fcCJ0_u0_seg_20_30
"In a restaurant, a woman strikes a man in a brown suit with a steel object.","The woman is kicking the man in a brown suit forcefully in the stomach, pushing him away from her.",Ev4,cap1,v_y_eZw262fhM_seg_20_30
"In a building, the man in a blue shirt and dark long sleeves is walking out of an office, clenching a paper.","In a building, a man in a blue shirt and dark long sleeves is being pulled by a man in a brown shirt as he walks into a room.",Ev4,cap2,v_LTqaoTSCTc0_seg_80_90
