cap1,cap2,ev,gt,video_id
"In a hair salon, the woman in the orange shirt is stabbing the small monster wearing a hat.","In a hair salon, the woman in the orange shirt is petting the small monster with the hat on.",Ev5,cap1,v_6JSqeViZRU0_seg_80_90
"In the lounge, the monster with a vest is pointing forwards.","In a lounge, a monster with a vest is retreating.",Ev1,cap1,v_Zlqovh9U5v0_seg_80_90
The man with dusty brown hair sits dejectedly in a chair.,"A man with dusty brown hair is standing dejectedly, instead of sitting in a chair.",Ev1,cap1,v_YoQeksBRPLI_seg_95_105
"On a bridge, the man with no shirt jumps upwards.","On a bridge, a man with no shirt is crouching down.",Ev4,cap1,v_cH80fIW-mrc_seg_70_80
"In the car, a flare is being extinguished, no longer on fire.",A flare lands on fire in the car.,Ev5,cap2,v_M6gOHxwffBg_seg_60_70
"Outside a motel, a kid in a brown shirt looks down the walkway, hearing something, and gazes at one of the rooms.","Outside a motel, a kid in a brown shirt is fleeing from one of the rooms down the walkway.",Ev2,cap1,v_xMuWufwEZiA_seg_0_10
"In the forest, the warriors are running forward across the dirt to engage in combat.","In the forest, warriors are retreating from the fight, moving backward across the dirt.",Ev1,cap1,v_kBI3jfVTQ04_seg_90_100
"In a spa, a leprechaun is trusting the person lying on the table.","In a spa, a leprechaun is examining a person lying on a table in a creepy manner.",Ev3,cap2,v_6JSqeViZRU0_seg_15_25
"On a mountain cliff, a woman with a red hat stretches out her hand to help the men off the helicopter.","On a mountain cliff, a woman with a red hat is pushing men off a helicopter.",Ev5,cap1,v_3IZVz7ukKyU_seg_105_115
"In a laboratory, a man in a red jacket is assisting a man with black hair.","In a laboratory, the man in the red jacket is dealing with the man with black hair.",Ev1,cap2,v_RWYM4Npp9rI_seg_150_160
"In a small room, the captor is dragging a prisoner away from the room.","In a small room, a captor is releasing a prisoner.",Ev4,cap1,v_jKPc2IbQQOQ_seg_140_150
A man wearing a brown coat is standing next to a car.,"Next to a car, a man wearing a brown coat is fleeing slowly.",Ev2,cap1,v_nDTVpRRoqcw_seg_15_25
"Outside a motel, a kid in a brown shirt looks curiously at the two people fighting in front of him.","Outside a motel, a kid in a brown shirt is turning away from the two people fighting in front of him.",Ev5,cap1,v_xMuWufwEZiA_seg_0_10
"Standing up angrily, a woman customer hits a man in suit on the side of his face with her purse.","Standing up angrily, a woman customer is hugging a man in a suit.",Ev3,cap1,v_bzGDMtX1IU0_seg_85_95
"In a corner by a phone, a man in black is pushing his arm away from the phone.","In a corner by a phone, a man in black is reaching with his arm towards the phone to grab it.",Ev1,cap2,v_GbOXTIymvqc_seg_75_85
"Inside a pyramid, a man with brown hair tries to save a man with a red hat by reaching for him.","Inside a pyramid, a man with brown hair is pushing a man with a red hat, while reaching for him.",Ev2,cap1,v_ARUzoPWS4Uk_seg_90_100
"In water, a man that has fallen is sinking face down.",The man who has fallen is floating face down in the water.,Ev1,cap2,v_6cwIlJvjP6k_seg_85_95
"In a bar, a person with a silver watch is spilling a drink slowly.","In a bar, a person wearing a silver watch is slowly lifting a drink from the bar to their mouth.",Ev3,cap2,v_IOK6qpQ1vg0_seg_25_35
"In the bush, a man in blue is following a man in red.","In the bush, the man in blue is leaving the man in red, who is from the past.",Ev2,cap2,v_V99QCtwXKsI_seg_20_30
"In a police car, a man in a police uniform is pushing a woman with black hair casually.","In a police car, a man in a police uniform casually touches a woman with black hair with his hand.",Ev2,cap2,v_qo1cSaFhPiQ_seg_25_35
"Outside by a lake, a woman with blonde hair and a man in a yellow shirt are lifting the dead body up from the ground into the air together.","Outside by a lake, a woman with blonde hair and a man in a yellow shirt are lowering the dead body.",Ev5,cap1,v_QaNag38SNno_seg_100_110
"Outside an apartment building, a woman in red coat wearing sunglasses is wrestling a shirtless man in white underwear.","Outside an apartment building, a woman in a red coat and sunglasses speaks to a shirtless man in white underwear as she dangles from a metal pole.",Ev4,cap2,v_fX4XAbCTdYs_seg_55_65
The singer is jiving in a club.,"In a club, a singer is sleeping.",Ev1,cap1,v_XN7uqQnAxIc_seg_70_80
"In a house, a brown haired woman is turning away from the window while on the phone.","In a house, a brown-haired woman looks through the window while talking on the phone.",Ev5,cap2,v_B2zzhcU9f9U_seg_30_40
"Near one of the motorcycles, one of the women is revealing herself.",One of the women is hiding herself near one of the motorcycles.,Ev2,cap2,v_MGsGQAu3aNM_seg_50_60
"In the office, the guy in a dark shirt is hiding a piece of paper from the guy in blue.","In the office, the guy in a dark shirt is proudly showing a piece of paper to the guy in blue.",Ev4,cap2,v_LTqaoTSCTc0_seg_85_95
"In an abandoned area at night, a woman is running through the deserted terrain to be safe, fleeing from a man with a moustache.","In an abandoned area at night, a woman is approaching a man with a moustache.",Ev5,cap1,v_BkNCfTfR6fQ_seg_90_100
"In the building, a man with dark hair is fixing a window.","In the building, a man with dark hair breaks a window.",Ev4,cap2,v_MD9AvOexMWY_seg_50_60
"Outside in the yard, a man is rescuing the woman from being choked.","Outside in the yard, the man is taunting the woman as he chokes her.",Ev5,cap2,v_tAHCa87P8YI_seg_80_90
"From the horse, the girl is shouting at the man.","From the horse, the girl is speaking nicely to the man.",Ev5,cap2,v_XTMeDBVknQY_seg_35_45
"Outside in the rain, the man in a cap is shocked.","Outside in the rain, a man in a cap looks calm.",Ev3,cap1,v_elvtIj_sPwU_seg_15_25
"In a home, a man in red is floating gently down.","In a home, the man in red crashes down.",Ev3,cap2,v_r9bfL4Jz-M8_seg_75_85
"Outdoors, a man in a blue shirt is pouring liquor down to a woman with blonde hair from a glass bottle.","Outdoors, a man in a blue shirt is refusing to pour liquor from a glass bottle down to a woman with blonde hair.",Ev3,cap1,v_JBLwuC2gHVQ_seg_85_95
"On the couch, the man is pulling something out of a bag towards the woman.","On a couch, a man is pushing something in a bag towards a woman.",Ev5,cap1,v_FE8xpnLMZlU_seg_60_70
"Inside a smoky building, a firefighter without a helmet is frantically moving up and down to and from.","Inside a smokey building, a firefighter without helmet is standing still, despite the chaos around.",Ev1,cap1,v_RLUhwGLJhsI_seg_90_100
They are carrying the woman backward from the set to remove her.,"From the set, they are following the woman, not removing her beckward.",Ev2,cap1,v_LC1Sb6tRr4E_seg_0_10
"In a hallway, a man in a white jacket and a man in a black jacket are working together.","In a hallway, a man in a white jacket and a man in a black jacket are struggling aggressively with each other.",Ev5,cap2,v_hA0OlCQLC0Q_seg_30_40
"On a beach, a boy in a dark shirt is chasing a man, angrily.","On the beach, the boy in a dark shirt is walking away from the man in anger.",Ev2,cap2,v_YlF1gLpUZp8_seg_65_75
"In the arena, a man in armor throws a spear precisely at a dark man.","In an arena, a man in armor is healing a dark man.",Ev2,cap1,v_zCLyLBrugD0_seg_115_125
