cap1,cap2,ev,gt,video_id
"In a den of a home, the woman is conversing with someone.",A guy in a tank top is having a conversation in a den of a home.,Ev5,cap2,v_PSe5x7y-kVY_seg_55_65
"At a park, a man in a blue shirt and brown hat is fighting a kid in a white shirt.","At a park, a kid in a blue shirt is fighting a kid in a white shirt.",Ev2,cap2,v_R9goLghpPBg_seg_75_85
"In a rocky area, the giant scorpion violently hits the warrior in brown with its claws.","In a rocky area, the woman with patterned pajamas is hitting the warrior in brown violently with his own claws.",Ev5,cap1,v_KbKQQZsQJwk_seg_20_30
"In the tent, the person in a cape is looking around curiously at the area near him.","In a tent, the boy in a t-shirt is looking curiously around at the area near him.",Ev1,cap2,v_VtEOGd7tD9o_seg_0_10
"Outside, two men are walking side by side in a forward direction.","Outside, a man in a red tie is walking forward side by side with someone.",Ev4,cap1,v_wMgKj3QGv2o_seg_140_150
"At the train station, a man with black hair is running forward a few feet to cause mayhem.","At the train station, a man holding a bat is running forward a few feet to cause mayhem.",Ev3,cap2,v_jf_-d13-UNw_seg_35_45
"Inside the car, the firefighter is coughing.","Inside a car, a man in a red flannel shirt is coughing.",Ev3,cap2,v_05-e-YTw4r8_seg_110_120
"In a gray room, a man with a beard and mustache speaks to someone while struggling.","In a gray room, the man in a blue shirt speaks to someone while struggling.",Ev4,cap1,v_n9-Wk6ulBuA_seg_25_35
"On a mountain, a man on skis is speaking face to face to a woman.","On a mountain, a woman wearing a hat is speaking face to face to the woman.",Ev3,cap1,v_OinSJLNXgA0_seg_45_55
The man at the back of a jail cell is laying himself down on the floor.,The woman with dark hair is laying him on the floor.,Ev4,cap1,v_riDe28hGBuo_seg_95_105
"By a car, the man in a tan jacket walks slowly away from it.","By a car, a man with short hair is walking slowly away from the car.",Ev4,cap1,v_hw8D5KSx5p4_seg_105_115
"In a kitchen, the boy in a white shirt is closing the door casually.","In a kitchen, a man with a brown vest under a coat is closing the door casually.",Ev1,cap2,v_oZ-BCSM4O8g_seg_5_15
"Near the car, the man in blue swiftly pushes the blonde girl forward.","Near the car, the woman is pushing her swiftly forward.",Ev4,cap1,v_hw8D5KSx5p4_seg_60_70
"Inside the hotel room, the girl exclaims, turning to her right.","Inside a hotel room, a boy wearing an orange jacket exclaims, turning to his right.",Ev3,cap2,v_WzBS3IIb-vg_seg_80_90
"In an office, a dark-haired man in a black outfit stares intently at a woman in a fur jacket ahead of him.","In an office, the guy in a gray shirt is staring intently ahead at the woman in a fur jacket.",Ev1,cap1,v_j6IS8ftaiKg_seg_80_90
"Outside in the street, the boy in a t-shirt, the man, and the woman are walking confrontationally towards the man in a black shirt.","Outside in the street, a man in a white shirt is walking confrontationally towards a man in a black shirt.",Ev4,cap2,v_cZcI8QATy2k_seg_85_95
"In a snowy field, the blonde woman slams the man in black down to the ground.","In a snowy field, the woman with a pink bow in her hair slams him down to the ground.",Ev4,cap1,v_3qp3AeWmt38_seg_145_155
"In a parking lot, a man in glasses is walking awkwardly together towards a car.","In a parking lot, a man and woman are walking awkwardly together towards a car.",Ev3,cap2,v_-vE1JNGKvxQ_seg_15_25
"At a bar, the woman in the white shirt is sipping a drink, likely containing alcohol.","At a bar, the man without a shirt is sipping what is likely alcohol.",Ev2,cap1,v_G6PcFmNCQpA_seg_90_100
"In the kitchen, a man in a red hat is licking his fingers.","In the kitchen, the man in a white shirt is licking his fingers.",Ev5,cap1,v_PyHK6QRniQ0_seg_70_80
"In an underground lair, the curly haired guy strikes the woman with spikes in her hair with his elbow.","In an underground lair, a woman with black hair strikes a woman with spikes in her hair with her elbow.",Ev3,cap2,v_-yzEjTjo2IA_seg_45_55
A man in a red and blue suit is setting the rope quickly on the ground.,A man in a white shirt quickly sets a rope on the ground.,Ev5,cap2,v_i3yO0OagpNY_seg_70_80
"In a police station, a man in a work shirt is running down the hallway away from the policeman to escape.","In a police station, a blond man is running down the hallway to escape from a policeman.",Ev4,cap2,v_4HOgujwklBY_seg_105_115
"In a town, the bloody man is walking through the street, looking back.","In a town, a man in a blue shirt walks through the street, looking back.",Ev5,cap2,v_cWYIlga8sas_seg_85_95
"In the desert, a hurrying person is running forward to hide from the men in white robes.","In the desert, the boy is running forward to hide from the men in white robes.",Ev2,cap1,v_bcokL59jeqU_seg_85_95
A man in a grey jacket sets the boy in a dark blue coat on the bed after carrying him.,A woman in a pink shirt sets the boy in a dark blue coat on the bed after carrying him.,Ev3,cap2,v_JqyCEV_iACo_seg_95_105
"Within the car, the woman smiles happily at the man driving the motorcycle.","Within the car, the man in a blue shirt is smiling with happiness at him.",Ev4,cap1,v_tyyPSnHcthg_seg_50_60
