cap1,cap2,ev,gt,video_id
"By the door, a man in a red jacket is talking to someone in another room, pushing money under the door as he speaks.","By the door, a boy wearing an orange jacket is talking to a person in another room while pushing money under the door.",Ev5,cap1,v_WzBS3IIb-vg_seg_80_90
"In the garage, the balding guy is speaking to the dog in an agitated manner.","In a garage, pole guy is speaking to the dog in an agitated tone.",Ev2,cap2,v_RWYM4Npp9rI_seg_65_75
"Outside, the monster is looking at a sword in front of him in anticipation.","Outside, a man wearing a skirt looks in anticipation at a sword in front of him.",Ev5,cap2,v_CJBoHk_Ld1g_seg_15_25
The man in the black jacket is punching the man in the plaid jacket in the face.,A man with a cap is punching a man in a plaid jacket in the face.,Ev3,cap2,v_BkNCfTfR6fQ_seg_90_100
"Outside, a man is starting up a bus.","Outside, a woman is starting up a bus.",Ev4,cap1,v_-vE1JNGKvxQ_seg_45_55
"In a bar, the old man is staring happily ahead at the younger man standing in front of him.","In a bar, the woman is staring happily ahead at the younger man in front of the old man.",Ev5,cap1,v_rsHK7n7hVBQ_seg_15_25
"In the park, the dog is rolling his body down on the grass.","In a park, the woman with long hair is rolling her body down on the grass.",Ev5,cap1,v_zDQHwzF1n4U_seg_10_20
The man in the black shirt is backing himself backwards in a warehouse.,"In a warehouse, the woman wearing a white shirt is moving herself backwards.",Ev4,cap2,v_ZLhyjNnrb6s_seg_140_150
"In a rocky area, the man on a dark brown horse is climbing down the rocks to the left.","In a rocky area, the man in a gray shirt is climbing down the rocks to the left.",Ev4,cap2,v_yQ62WM_w2iM_seg_45_55
A blond woman is gently patting the head of a man sitting unconscious in a seat.,A man with a striped collar is patting the head of the man sitting unconscious in a seat.,Ev4,cap1,v_HDxqSt_Ctbw_seg_45_55
"In the backseat of a car, a man without a hat is leaning back and talking to a man with a hat.","In the backseat of the car, the ambulance driver is talking to the man with the hat, leaning back.",Ev1,cap1,v_vt0hblIsHiY_seg_125_135
"In a ruined room, the woman in bluejeans is wrapping the chair tightly with pink ribbons.","In a ruined room, the woman in pink is wrapping the chair tightly with pink ribbons.",Ev3,cap1,v_ZcO9A2DK_8o_seg_20_30
A man in a white shirt is pulling a red cloth down onto the floor.,A man in a yellow shirt is pulling a red cloth down onto the floor.,Ev1,cap1,v_XPUqjed6k4s_seg_100_110
"At a dinner table, the woman is talking to everyone else face to face.","At a dinner table, the man wearing a white shirt is talking face to face to everyone else.",Ev2,cap2,v_EkE_bNKYqCM_seg_0_10
"Outside at night, a man in a black shirt violently throws a rock at a man in a white shirt.","Outside at night, the woman in the window is throwing a rock violently at the man in a white shirt.",Ev1,cap1,v_cZcI8QATy2k_seg_85_95
"In a hospital, a woman with dark hair is taking aim at a red-headed woman, preparing to shoot her.","In a hospital, the man in green is targeting the red-headed woman, taking aim at her to shoot her.",Ev4,cap1,v_lsgl848rea8_seg_45_55
"In an outdoor seating area, the dog is smiling at the brunette woman while she is talking.","In an outdoor seating area, a blond woman smiles at a brunette woman while talking.",Ev1,cap2,v_JcAdeY9KlpE_seg_70_80
